Teff  logg FeH   profile        filter     wave_min wave_eff wave_max   c1    e1    c2    e2    c3     e3    c4    e4 
6250.0  4.0 0.5 4-parameter Kepler/Kepler.K     0.63   0.6377    0.645  0.06 0.028 1.492 0.065 -1.271 0.066   0.4 0.024
6250.0  4.0 0.5 4-parameter Kepler/Kepler.K    0.646   0.6533    0.661 0.074 0.019 1.502 0.044 -1.322 0.045 0.409 0.016
6250.0  4.0 0.5 4-parameter Kepler/Kepler.K    0.662   0.6694    0.677 0.063 0.026 1.476 0.062 -1.281 0.063 0.403 0.023
6250.0  4.0 0.5 4-parameter Kepler/Kepler.K    0.678   0.6855    0.693 0.055  0.02 1.477 0.048 -1.293 0.049 0.411 0.018
6250.0  4.0 0.5 4-parameter Kepler/Kepler.K    0.694   0.7017    0.709 0.069 0.014  1.42 0.034 -1.239 0.034 0.391 0.012
6250.0  4.0 0.5 4-parameter Kepler/Kepler.K     0.71   0.7173    0.725 0.082 0.018 1.374 0.042 -1.203 0.042 0.378 0.015
6250.0  4.0 0.5 4-parameter Kepler/Kepler.K    0.726   0.7334    0.741 0.088 0.015 1.357 0.035 -1.198 0.036 0.377 0.013
6250.0  4.0 0.5 4-parameter Kepler/Kepler.K    0.742   0.7495    0.757 0.082 0.017 1.367 0.041 -1.226 0.042 0.389 0.015
6250.0  4.0 0.5 4-parameter Kepler/Kepler.K    0.758   0.7656    0.773 0.077 0.012 1.376 0.028  -1.25 0.029 0.401  0.01
6250.0  4.0 0.5 4-parameter Kepler/Kepler.K    0.774   0.7817    0.789 0.091 0.011 1.328 0.027 -1.208 0.027 0.386  0.01
6250.0  4.0 0.5 4-parameter Kepler/Kepler.K     0.79   0.7974    0.805 0.099  0.01   1.3 0.024  -1.18 0.024 0.372 0.009
6250.0  4.0 0.5 4-parameter Kepler/Kepler.K    0.806   0.8135    0.821 0.135 0.015 1.197 0.036 -1.079 0.036 0.336 0.013
6250.0  4.0 0.5 4-parameter Kepler/Kepler.K    0.822   0.8296    0.837 0.134 0.011 1.189 0.025  -1.08 0.025 0.337 0.009
6250.0  4.0 0.5 4-parameter Kepler/Kepler.K    0.838   0.8457    0.853 0.153 0.009 1.125 0.022  -1.03 0.022 0.322 0.008
6250.0  4.0 0.5 4-parameter Kepler/Kepler.K    0.854   0.8613    0.869 0.174  0.01 1.042 0.025 -0.938 0.025 0.283 0.009
6250.0  4.0 0.5 4-parameter Kepler/Kepler.K     0.87   0.8774    0.885 0.142 0.013 1.134 0.032 -1.029 0.032 0.315 0.012
6250.0  4.0 0.5 4-parameter Kepler/Kepler.K    0.886   0.8936    0.901 0.219 0.006 0.956 0.014 -0.901 0.014 0.281 0.005
